year,i3,inf,rdisp,rnondc,rserv,pop,y,rcons,c,r3,lc,ly,gc,gy,gc_1,gy_1,r3_1,lc_ly,lc_ly_1,gc_2,gy_2,r3_2,lc_ly_2
1959,3.4100001,.69999999,1530.1,606.29999,687.40002,177830,8604.2852,1293.7,7274.9253,2.71,8.892189,9.0600157,,,,,,-.16782665,,,,,
1960,2.9300001,1.7,1565.4,615.40002,717.40002,180671,8664.3682,1332.8,7376.9453,1.23,8.9061146,9.0669746,.013925552,.0069589615,,,2.71,-.16086006,-.16782665,,,,
1961,2.3800001,1,1615.8,626.70001,746.5,183691,8796.2939,1373.2,7475.5972,1.3800001,8.9193993,9.0820856,.013284683,.01511097,.013925552,.0069589615,1.23,-.16268635,-.16086006,,,2.71,-.16782665
1962,2.78,1,1693.7,646.5,783.40002,186538,9079.6514,1429.9,7665.4624,1.78,8.9444799,9.1137915,.025080681,.031705856,.013284683,.01511097,1.3800001,-.16931152,-.16268635,.013925552,.0069589615,1.23,-.16086006
1963,3.1600001,1.3,1755.5,660,818.70001,189242,9276.4824,1478.7,7813.8042,1.8600001,8.9636469,9.1352377,.019166946,.021446228,.025080681,.031705856,1.78,-.17159081,-.16931152,.013284683,.01511097,1.3800001,-.16268635
1964,3.55,1.3,1881.9,692.5,868.40002,191889,9807.2324,1560.9,8134.3901,2.25,9.0038557,9.1908751,.040208817,.05563736,.019166946,.021446228,1.8600001,-.18701935,-.17159081,.025080681,.031705856,1.78,-.16931152
1965,3.95,1.6,2002.2,729.29999,914.59998,194303,10304.524,1643.8999,8460.4971,2.3499999,9.0431633,9.2403383,.039307594,.049463272,.040208817,.05563736,2.25,-.19717503,-.18701935,.019166946,.021446228,1.8600001,-.17159081
1966,4.8800001,2.9000001,2106.6001,769.20001,961,196560,10717.339,1730.2,8802.4014,1.98,9.0827799,9.2796183,.039616585,.039279938,.039307594,.049463272,2.3499999,-.19683838,-.19717503,.040208817,.05563736,2.25,-.18701935
1967,4.3200002,3.0999999,2198.3999,781.40002,1007.6,198712,11063.247,1789,9002.9795,1.2200003,9.1053104,9.3113842,.022530556,.031765938,.039616585,.039279938,1.98,-.20607376,-.19683838,.039307594,.049463272,2.3499999,-.19717503
1968,5.3400002,4.1999998,2298.2,816.90002,1059.6,200706,11450.579,1876.5,9349.4961,1.1400003,9.1430779,9.3457956,.03776741,.03441143,.022530556,.031765938,1.2200003,-.20271778,-.20607376,.039616585,.039279938,1.98,-.19683838
1969,6.6799998,5.5,2373.6001,838.59998,1110.8,202677,11711.245,1949.4,9618.2598,1.1799998,9.1714182,9.3683052,.02834034,.022509575,.03776741,.03441143,1.1400003,-.19688702,-.20271778,.022530556,.031765938,1.2200003,-.20607376
1970,6.46,5.6999998,2465.6001,859.09998,1155.4,205052,12024.268,2014.5,9824.3369,.76000023,9.1926184,9.3946819,.02120018,.026376724,.02834034,.022509575,1.1799998,-.20206356,-.19688702,.03776741,.03441143,1.1400003,-.20271778
1971,4.3499999,4.4000001,2564,874.5,1197.9,207661,12347.047,2072.3999,9979.7266,-.050000191,9.2083111,9.4211721,.015692711,.026490211,.02120018,.026376724,.76000023,-.21286106,-.20206356,.02834034,.022509575,1.1799998,-.19688702
1972,4.0700002,3.2,2680.8,912.90002,1262.5,209896,12772.04,2175.3999,10364.18,.87000012,9.2461109,9.4550133,.037799835,.033841133,.015692711,.026490211,-.050000191,-.20890236,-.21286106,.02120018,.026376724,.76000023,-.20206356
1973,7.04,6.1999998,2869.3999,942.90002,1319.4,211909,13540.718,2262.3,10675.81,.84000015,9.2757359,9.5134563,.029624939,.058443069,.037799835,.033841133,.87000012,-.23772049,-.20890236,.015692711,.026490211,-.050000191,-.21286106
1974,7.8899999,11,2847,924.5,1351.2,213854,13312.821,2275.7,10641.372,-3.1100001,9.2725048,9.4964828,-.0032310486,-.016973495,.029624939,.058443069,.84000015,-.22397804,-.23772049,.037799835,.033841133,.87000012,-.20890236
1975,5.8400002,9.1000004,2895,938.29999,1398.3,215973,13404.453,2336.6001,10818.945,-3.2600002,9.2890539,9.5033426,.01654911,.0068597794,-.0032310486,-.016973495,-3.1100001,-.21428871,-.22397804,.029624939,.058443069,.84000015,-.23772049
1976,4.9899998,5.8000002,3008,984.79999,1457.1,218035,13795.95,2441.8999,11199.577,-.81000042,9.3236313,9.5321302,.03457737,.028787613,.01654911,.0068597794,-3.2600002,-.20849895,-.21428871,-.0032310486,-.016973495,-3.1100001,-.22397804
1977,5.27,6.5,3105.1001,1010.4,1518.2,220239,14098.775,2528.6001,11481.164,-1.23,9.3484631,9.5538435,.024831772,.021713257,.03457737,.028787613,-.81000042,-.20538044,-.20849895,.01654911,.0068597794,-3.2600002,-.21428871
