Y,t
2002.11,1
1925.41,2
1929.28,3
1931.51,4
1983.83,5
2006.0699,6
1979.92,7
1971.36,8
1995.35,9
2016.64,10
2002.89,11
2004.02,12
1989.8101,13
1984.01,14
1929.2,15
1940.9,16
1932.78,17
1925.3101,18
1872.61,19
1919.84,20
1940.24,21
1940.21,22
1962.21,23
1961.4399,24
1961.3,25
1985.49,26
1944.5699,27
1951.65,28
1910.92,29
1914.88,30
1931.58,31
1912.12,32
1912.96,33
1854.85,34
1863.26,35
1875.16,36
1865.2,37
1837.7,38
1858.17,39
1883.5,40
1901.51,41
1905.09,42
1942.89,43
1918.4399,44
1869.33,45
1884.8101,46
1933.11,47
1923.98,48
1908.42,49
1874.6899,50
1920.28,51
2012.03,52
2020.3101,53
2009.53,54
2060.8999,55
2070.27,56
2107.1299,57
2107.28,58
2102.3101,59
2080.0801,60
2081.45,61
2053.05,62
2067.76,63
2077.97,64
2062.53,65
2052.52,66
2072.1499,67
2092.8701,68
2076.46,69
2071.22,70
2025.23,71
1988.4301,72
1872.55,73
1934.5,74
1990.04,75
1970.58,76
1980.36,77
1973.91,78
2039.6,79
2017.04,80
2022.6801,81
2005.55,82
2027.4,83
1997.09,84
1954.23,85
1946.65,86
1978.52,87
1967.01,88
1950.5,89
1910.79,90
1945.38,91
1963.59,92
2007.03,93
2025.96,94
2000.9399,95
1986.4,96
1944.65,97
1936.04,98
1898.9399,99
1933.85,100
1909.67,101
1904.98,102
1966.59,103
1964.4,104
2003.45,105
2042.79,106
2029.5,107
2015.98,108
2034.91,109
2021.5601,110
2015.03,111
1999.92,112
2032.58,113
2034.1899,114
2045.52,115
2026,116
2055.8401,117
2041.9399,118
2046.35,119
2009.13,120
1994.33,121
2013.47,122
2006.88,123
2013.08,124
1995.89,125
2012.83,126
2033.58,127
2001.71,128
2016.41,129
2047.1899,130
2042.65,131
2049.99,132
2066.79,133
2070.8601,134
2090.4399,135
2091.1399,136
2067.97,137
2051.76,138
2070.6101,139
2049.3101,140
2027.41,141
2041.51,142
2011.01,143
2007.29,144
1966.2,145
1981.36,146
1991.4301,147
1992.41,148
2011.8,149
2026.4,150
2049.1399,151
2054.1201,152
2040.55,153
2023.33,154
2039.51,155
2066.8999,156
2057.03,157
2050.9299,158
2073.4399,159
2067.48,160
2078.25,161
2076.3799,162
2087.3999,163
2090.6599,164
2088.1001,165
2098.72,166
2092.99,167
2083.48,168
2104.4299,169
2108.76,170
2089.77,171
2069.3999,172
2083.6799,173
2072.5801,174
2065.3401,175
2055.26,176
2059.77,177
2054.21,178
2033.3199,179
2003.8101,180
2025.17,181
2013.34,182
2010.21,183
2009.76,184
1996.3199,185
1979.92,186
1979.3101,187
2023.33,188
1993.33,189
1992.9399,190
1979.4399,191
1990.62,192
1993.7,193
1955.8199,194
1946.16,195
1925.41,196
1894.37,197
1846.08,198
1907.71,199
1908.34,200
1874.12,201
1863.35,202
1928.1,203
1939.4399,204
1937.86,205
1941.13,206
1895.03,207
1894.42,208
1915.55,209
1942.2,210
1984.91,211
1973.72,212
1983.73,213
1981.5,214
1989.1899,215
1988.8,216
1957.62,217
1945.24,218
1897.78,219
1877.51,220
1921.67,221
1931.4399,222
1907.2,223
1900.88,224
1866.01,225
1872.72,226
1838,227
1865,228
1875.01,229
1857.3,230
1865.89,231
1828.42,232
1828.8101,233
1842.36,234
1914.09,235
1879.58,236
1868.64,237
1905.29,238
1919.65,239
1907.1,240
1891.9301,241
1865.45,242
1825.42,243
1840.1801,244
1816.36,245
1759.62,246
1773.71,247
1817,248
1829.83,249
1849.34,250
1856.76,251
1837.37,252
1785.86,253
1875.5601,254
1855.8199,255
1807.13,256
1804.04,257
1810.98,258
1828.5,259
1847.37,260
1835.54,261
1847.13,262
1851.16,263
1876.9399,264
1869.38,265
1869.89,266
1894.25,267
1899.71,268
1890.27,269
1886.8,270
1899.75,271
1913.13,272
1902.55,273
1913.11,274
1879.6899,275
1886.48,276
1883.72,277
1868.29,278
1856.66,279
1831.96,280
1853.65,281
1837.77,282
1834.1,283
1849.15,284
1814.22,285
1782.75,286
1749.86,287
1746.5,288
1736.8199,289
1767.29,290
1753.88,291
1729.08,292
1730.92,293
1721.09,294
1731.42,295
1748.74,296
1760.36,297
1764.39,298
1720.71,299
1646.42,300
1671.1899,301
1628.02,302
1637.61,303
1605.48,304
1633.8101,305
1594.5,306
1565.98,307
1559.65,308
1590.7,309
1608.65,310
1649.79,311
1609.67,312
1602.26,313
1619.54,314
1599.36,315
1544.35,316
1540.17,317
1607.46,318
1575.71,319
1588.5,320
1631.6899,321
1628.23,322
1652.83,323
1647.5,324
1664.4399,325
1729.26,326
1750.98,327
1736.02,328
1710.01,329
1689.23,330
1716.17,331
1724.38,332
1750.3199,333
1745.39,334
1769.12,335
1770.66,336
1744.54,337
1769.78,338
1765.49,339
1762.41,340
1754.72,341
1754.46,342
1741.33,343
1746.01,344
1746.75,345
1796.72,346
1801.63,347
1806.83,348
1836.02,349
1831.2,350
1802.84,351
1808.64,352
1787.28,353
1773.46,354
1746.11,355
1757.09,356
1763.87,357
1772.92,358
1795.96,359
1777.25,360
1786.99,361
1770.21,362
1755.4301,363
1757.48,364
1737.9399,365
1707.5601,366
1699.85,367
1691.59,368
1697.41,369
1712.26,370
1731.75,371
1715.39,372
1705.9399,373
1703.37,374
1695.61,375
1716.8101,376
1714.3199,377
1731.53,378
1728.65,379
1707.6801,380
1667.9,381
1679.4,382
1655.3101,383
1653.54,384
1692.73,385
1703.3101,386
1684.77,387
1701.5699,388
1692.27,389
1702.52,390
1696.67,391
1668.9,392
1641.76,393
1668.16,394
1685.62,395
1689.79,396
1688.03,397
1697.45,398
1704.24,399
1711.17,400
1702.4301,401
1683.03,402
1688.6,403
1659.58,404
1659.76,405
1669.21,406
1670.96,407
1664.61,408
1652.71,409
1657.88,410
1630.35,411
1643.59,412
1623.74,413
1635.16,414
1630.67,415
1662.74,416
1654.72,417
1629.91,418
1612.05,419
1584.77,420
1591.1801,421
1590.29,422
1588.9301,423
1553.41,424
1524.47,425
1533.98,426
1459,427
1450.54,428
1427.25,429
1382.9301,430
1356.61,431
1409.5,432
1421.91,433
1415.01,434
1431.29,435
1462.6899,436
1459.33,437
1477.29,438
1507.03,439
1503.3101,440
1506.11,441
1493.54,442
1485.63,443
1519.77,444
1542.98,445
1534.86,446
1532.52,447
1543.15,448
1514.5,449
1502.61,450
1509.46,451
1532.55,452
1525.35,453
1525.96,454
1546.9,455
1553.26,456
1516.39,457
1490.4399,458
1490.58,459
1524.96,460
1529.35,461
1551.39,462
1573.9301,463
1570.16,464
1574.09,465
1576.61,466
1573.8199,467
1603.28,468
1606.64,469
1608.09,470
1603.17,471
1620.66,472
1608.9,473
1601.02,474
1619.78,475
1629.76,476
1618.62,477
1589.38,478
1605.99,479
1604.92,480
1591.48,481
1612.47,482
1649,483
1644.48,484
1632.1,485
1606.23,486
1601.76,487
1602.45,488
1577.58,489
1582.8101,490
1598.74,491
1610.83,492
1620.27,493
1606.92,494
1613.9399,495
1613.6,496
1620.26,497
1631.6899,498
1637.23,499
1618.98,500
1628.51,501
1643.48,502
1653.6899,503
1642.95,504
1637.48,505
1629.7,506
1631.72,507
1616.35,508
1606.2,509
1617.1801,510
1591.04,511
1607.02,512
1591.08,513
1579.41,514
1591.9399,515
1597.55,516
1599.14,517
1598.86,518
1553.23,519
1571.6899,520
1595.35,521
1584.0601,522
1544.89,523
1538.7,524
1529.6801,525
1525.26,526
1547.9399,527
1570.21,528
1563.95,529
1580.03,530
1577.29,531
1559.98,532
1530.58,533
1551.37,534
1527.34,535
1539.91,536
1567.59,537
1567.65,538
1569.01,539
1564.59,540
1600.02,541
1631.25,542
1620.37,543
1644.2,544
1636.86,545
1646.4399,546
1652.04,547
1648.28,548
1632.46,549
1631,550
1649.5601,551
1648.73,552
1655.4399,553
1629.4301,554
1631.9301,555
1625.02,556
1601.21,557
1610.8101,558
1619.45,559
1623.4301,560
1622.23,561
1608.39,562
1592.6,563
1593.96,564
1588.88,565
1592.88,566
1582.36,567
1600.36,568
1562.52,569
1572.89,570
1560.92,571
1597.48,572
1594.3199,573
1592.08,574
1593.0699,575
1568.52,576
1558.79,577
1547.74,578
1545.4,579
1524.08,580
1508.75,581
1525,582
1538.65,583
1536.16,584
1520.4399,585
1491.05,586
1486.5699,587
1542.53,588
1520.39,589
1494.87,590
1522.8,591
1555.04,592
1546.73,593
1556.9301,594
1569.17,595
1548.3101,596
1531.3199,597
1540.12,598
1555.8199,599
1537.02,600
1523.89,601
1514.33,602
1510.25,603
1513.77,604
1476.26,605
1476.28,606
1489.88,607
1460.5,608
1458.21,609
1462.78,610
1438.47,611
1448.16,612
1433.01,613
1429.78,614
1470.84,615
1472.25,616
1447.98,617
1428.55,618
1404.21,619
1409.3,620
1385.77,621
1382.78,622
1407.11,623
1405.9399,624
1375.88,625
1346.96,626
1355.4,627
1405.2,628
1388.4399,629
1354.23,630
1308.3,631
1318.1801,632
1309.6801,633
1304.76,634
1280.78,635
1287.98,636
1253.21,637
1205.16,638
1165.48,639
1133.99,640
1199.01,641
1192.28,642
1212.41,643
1278.1,644
1283.62,645
1296.34,646
1258.22,647
1229.1899,648
1187.0699,649
1222.59,650
1247.28,651
1288.12,652
1292.9399,653
1286.09,654
1258.36,655
1309.04,656
1324.3199,657
1322.36,658
1353.63,659
1334.7,660
1351.8199,661
1370.85,662
1339.79,663
1349.88,664
1331.2,665
1307.28,666
1307.28,667
1304.86,668
1250.6801,669
1273.03,670
1252.77,671
1273.88,672
1286.79,673
1296.23,674
1296.25,675
1264.42,676
1268.5699,677
1270.45,678
1245.39,679
1239.7,680
1202.47,681
1205.42,682
1188.76,683
1168.22,684
1197.5601,685
1219.6,686
1180.28,687
1163.04,688
1209.59,689
1181.3199,690
1168.5699,691
1142.36,692
1120.52,693
1139.9,694
1108.91,695
1147.8,696
1192.63,697
1201.37,698
1258.24,699
1228.01,700
1255.42,701
1262.84,702
1284.73,703
1271.08,704
1279.63,705
1260.17,706
1281.8101,707
1271.2,708
1259.79,709
1272.25,710
1265.41,711
1287.13,712
1297.6899,713
1307.8,714
1320.04,715
1290.15,716
1278.9399,717
1252.42,718
1262.14,719
1261.97,720
1293.21,721
1301.28,722
1287.79,723
1282.61,724
1307.61,725
1335.75,726
1331.17,727
1334.52,728
1306.79,729
1343.47,730
1339.89,731
1337.35,732
1317.65,733
1313.54,734
1297.8,735
1305.99,736
1277.05,737
1294.91,738
1295.91,739
1291.16,740
1273.83,741
1303.85,742
1293.26,743
1276.36,744
1266.79,745
1283.26,746
1285.6,747
1278.58,748
1274.5601,749
1254.66,750
1260.42,751
1261.1801,752
1303.17,753
1302.55,754
1331.8199,755
1323.17,756
1304.95,757
1330.3101,758
1330.29,759
1328.5,760
1336.25,761
1317.1801,762
1312.01,763
1293.63,764
1273.3101,765
1260.16,766
1273.04,767
1235.84,768
1215.86,769
1231.74,770
1240.3101,771
1212.23,772
1228.14,773
1234.79,774
1217.4,775
1211.04,776
1203.58,777
1191.46,778
1200.51,779
1190.83,780
1176.15,781
1174.4301,782
1199.61,783
1223.11,784
1214.66,785
1203.1801,786
1219.1,787
1196.71,788
1205.3199,789
1189.98,790
1204.11,791
1209.71,792
1200.6,793
1182.17,794
1193.87,795
1182.8199,796
1192.62,797
1161.85,798
1152.15,799
1157.61,800
1197.5601,801
1199.55,802
1242.09,803
1247.4,804
1258.37,805
1260.77,806
1289.74,807
1244.3101,808
1259.4399,809
1252.59,810
1250.71,811
1243.51,812
1221.46,813
1236.3,814
1268.8199,815
1262.4301,816
1265.9,817
1267.49,818
1265.5699,819
1247.99,820
1256.04,821
1251.41,822
1275.8199,823
1283.96,824
1268.28,825
1287.99,826
1285.72,827
1313.63,828
1324.6801,829
1313.75,830
1295.5699,831
1318.85,832
1323.26,833
1322.0699,834
1321.39,835
1341.28,836
1336.24,837
1347.54,838
1340.87,839
1327.42,840
1346.6801,841
1363.61,842
1359.74,843
1355.76,844
1366.59,845
1363.3199,846
1329.38,847
1327.87,848
1333.33,849
1345.53,850
1347.49,851
1373.86,852
1376.58,853
1371.51,854
1391.72,855
1396.7,856
1403.29,857
1424.91,858
1430.64,859
1427.28,860
1410.21,861
1423.11,862
1441.86,863
1443.41,864
1429.11,865
1461.15,866
1462.48,867
1460.3199,868
1438.09,869
1439.54,870
1419.24,871
1421.86,872
1410.1,873
1425.8199,874
1411.97,875
1409.48,876
1421.03,877
1437.61,878
1425.97,879
1453.0699,880
1458.51,881
1450.51,882
1430.96,883
1444.7,884
1453,885
1448.02,886
1438.86,887
1421.11,888
1437.89,889
1416.88,890
1430.35,891
1431.1,892
1420.96,893
1445.7,894
1442.58,895
1432.3101,896
1429.91,897
1434.33,898
1419.64,899
1423.51,900
1398.42,901
1401.01,902
1411.27,903
1416.3,904
1421.01,905
1435.17,906
1426.55,907
1435.96,908
1436.4301,909
1449.65,910
1453.45,911
1450.61,912
1454.98,913
1440.17,914
1441.11,915
1445.51,916
1445.84,917
1454.7,918
1462.3,919
1482.61,920
1489.25,921
1491.77,922
1482.24,923
1497.22,924
1484.9301,925
1467.29,926
1475.72,927
1478.9399,928
1473.4301,929
1494.5,930
1489.7,931
1509.47,932
1504.74,933
1485.16,934
1494.1899,935
1465.66,936
1457.09,937
1448.03,938
1462.2,939
1446.77,940
1479.23,941
1482.36,942
1496.3199,943
1502.86,944
1510.05,945
1502.65,946
1509.86,947
1509,948
1519.6,949
1525.6,950
1521.95,951
1526.8,952
1511.1801,953
1518.97,954
1520.9301,955
1498.28,956
1503.26,957
1496.2,958
1499.4301,959
1522.21,960
1524.41,961
1523.12,962
1528.62,963
1540.71,964
1532.34,965
1530.54,966
1539.75,967
1533.02,968
1524.26,969
1523.47,970
1541.49,971
1541.3,972
1529.84,973
1520.0699,974
1506.3199,975
1518.51,976
1505.76,977
1508.21,978
1532.6899,979
1535.49,980
1542.39,981
1542.0699,982
1559.5,983
1554.42,984
1552.09,985
1559.47,986
1547.52,987
1558.96,988
1545.6801,989
1544.3101,990
1562.23,991
1566.5,992
1557.66,993
1568.02,994
1570.15,995
1588.9,996
1588.1899,997
1594.4301,998
1598.9301,999
1596.05,1000
1598.75,1001
1619.16,1002
1619.59,1003
1622.9399,1004
1618.05,1005
1638.1,1006
1640.3101,1007
1644.6,1008
1652.83,1009
1638.14,1010
1646.03,1011
1637.33,1012
1650.96,1013
1653.21,1014
1664.5699,1015
1663.03,1016
1676.0699,1017
1670.73,1018
1667.26,1019
1687.4399,1020
1670.91,1021
1648.4399,1022
1657.09,1023
1652.73,1024
1658.79,1025
1659.92,1026
1646.29,1027
1649.35,1028
1670.14,1029
1666.16,1030
1674.55,1031
1693.03,1032
1684.92,1033
1675.86,1034
1692.22,1035
1684.9,1036
1678.01,1037
1673.71,1038
1669.2,1039
1666.42,1040
1673.34,1041
1675.63,1042
1675.7,1043
1691.9,1044
1681.88,1045
1685.17,1046
1690.83,1047
1693.76,1048
1679.74,1049
1670.0699,1050
1645.79,1051
1621.21,1052
1641.42,1053
1617.91,1054
1627.03,1055
1646.29,1056
1644.21,1057
1625.84,1058
1604.8,1059
1602.67,1060
1598.85,1061
1625.01,1062
1623.36,1063
1644.75,1064
1651.4301,1065
1650.42,1066
1659.16,1067
1673.41,1068
1686.24,1069
1683.23,1070
1672.14,1071
1670.36,1072
1679.02,1073
1655.99,1074
1654.17,1075
1655.15,1076
1663.62,1077
1665.4,1078
1639.49,1079
1648.3101,1080
1671.63,1081
1672.62,1082
1665.2,1083
1668.99,1084
1646.2,1085
1634.16,1086
1624.51,1087
1639.46,1088
1642.5,1089
1645.65,1090
1634.75,1091
1612.3101,1092
1595.38,1093
1607.9399,1094
1611.15,1095
1610.05,1096
1609.12,1097
1592.23,1098
1603.14,1099
1599.29,1100
1600.0601,1101
1606.49,1102
1609.22,1103
1635.14,1104
1638.16,1105
1647.65,1106
1646.8,1107
1647.5699,1108
1653.67,1109
1641.4301,1110
1650.08,1111
1676.48,1112
1679.21,1113
1663.38,1114
1671.02,1115
1655,1116
1664.92,1117
1667.23,1118
1665.02,1119
1669.39,1120
1662.46,1121
1668.55,1122
1682.75,1123
1678.0699,1124
1668.9301,1125
1667.61,1126
1671.84,1127
1678.83,1128
1661.53,1129
1656.33,1130
1642.84,1131
1646.36,1132
1632.89,1133
1638.42,1134
1640.73,1135
1641.96,1136
1636.62,1137
1629.58,1138
1621.8101,1139
1621.09,1140
1632.52,1141
1610.88,1142
1615.27,1143
1599.62,1144
1596.48,1145
1612.33,1146
1613.5,1147
